Date,Open,High,Low,Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
2010-03-31,5260.4,5293.9,5235.15,5249.1,5259.383333333333,5283.616666666667,5224.866666666667,5318.133333333333,5200.633333333333,5342.366666666667,5166.116666666667,5366.6,5131.6,5390.833333333334,5097.083333333334
2010-04-01,5249.2,5298.6,5249.2,5290.5,5279.433333333333,5309.666666666667,5260.266666666666,5328.833333333334,5230.033333333333,5359.0666666666675,5210.866666666666,5389.300000000001,5191.699999999997,5419.533333333335,5172.533333333333
2010-04-05,5291.4,5377.55,5291.4,5368.4,5345.783333333334,5400.166666666668,5314.016666666667,5431.933333333334,5259.633333333333,5486.316666666668,5227.866666666667,5540.700000000004,5196.1,5595.083333333336,5164.333333333334
2010-04-06,5369.65,5388.65,5351.7,5366.0,5368.783333333333,5385.866666666666,5348.916666666666,5405.733333333333,5331.833333333333,5422.816666666666,5311.966666666666,5439.9,5292.0999999999985,5456.983333333332,5272.233333333334
2010-04-07,5365.7,5399.65,5345.05,5374.65,5373.116666666667,5401.183333333333,5346.583333333334,5427.716666666666,5318.516666666667,5455.783333333333,5291.9833333333345,5483.8499999999985,5265.450000000003,5511.916666666666,5238.916666666668
2010-04-08,5376.3,5383.65,5290.25,5304.45,5326.116666666666,5361.983333333332,5268.583333333332,5419.5166666666655,5232.716666666666,5455.383333333331,5175.1833333333325,5491.249999999998,5117.65,5527.116666666663,5060.116666666665
2010-04-09,5302.4,5377.45,5302.25,5361.75,5347.150000000001,5392.050000000001,5316.850000000001,5422.35,5271.950000000001,5467.250000000001,5241.6500000000015,5512.1500000000015,5211.350000000002,5557.050000000003,5181.050000000003
2010-04-12,5354.15,5382.15,5324.9,5339.7,5348.916666666667,5372.933333333334,5315.683333333334,5406.166666666667,5291.666666666667,5430.183333333334,5258.433333333334,5454.200000000001,5225.200000000001,5478.216666666669,5191.966666666669
2010-04-13,5340.85,5356.5,5301.7,5322.95,5327.05,5352.400000000001,5297.6,5381.85,5272.25,5407.200000000001,5242.8,5432.550000000003,5213.350000000002,5457.9000000000015,5183.9000000000015
2010-04-15,5323.3,5373.15,5265.3,5273.6,5304.016666666667,5342.7333333333345,5234.883333333335,5411.866666666667,5196.166666666668,5450.583333333334,5127.033333333336,5489.300000000001,5057.900000000005,5528.016666666668,4988.76666666667
2010-04-16,5273.4,5283.05,5237.55,5262.6,5261.066666666667,5284.583333333333,5239.083333333333,5306.566666666667,5215.566666666667,5330.083333333333,5193.583333333333,5353.5999999999985,5171.5999999999985,5377.116666666665,5149.616666666665
2010-04-19,5279.05,5279.05,5160.9,5203.65,5214.533333333334,5268.166666666668,5150.016666666667,5332.683333333334,5096.383333333333,5386.316666666668,5031.866666666667,5439.950000000004,4967.35,5493.583333333336,4902.833333333334
2010-04-20,5208.3,5257.25,5208.3,5230.1,5231.883333333333,5255.466666666666,5206.516666666666,5280.833333333333,5182.933333333333,5304.416666666666,5157.566666666667,5327.999999999998,5132.199999999999,5351.583333333332,5106.833333333332
2010-04-21,5230.3,5266.3,5230.3,5244.9,5247.166666666667,5264.033333333334,5228.033333333334,5283.166666666667,5211.166666666667,5300.033333333334,5192.033333333334,5316.899999999998,5172.899999999998,5333.766666666666,5153.766666666666
2010-04-22,5248.6,5331.8,5221.1,5269.35,5274.083333333334,5327.0666666666675,5216.366666666668,5384.783333333334,5163.383333333334,5437.766666666667,5105.666666666668,5490.750000000002,5047.950000000001,5543.733333333334,4990.233333333335
2010-04-23,5269.65,5311.05,5269.65,5304.1,5294.933333333333,5320.216666666667,5278.816666666667,5336.333333333334,5253.533333333333,5361.616666666668,5237.416666666666,5386.9000000000015,5221.299999999997,5412.183333333334,5205.1833333333325
2010-04-26,5299.35,5342.35,5299.35,5322.45,5321.383333333334,5343.416666666668,5300.416666666668,5364.383333333334,5278.383333333334,5386.416666666668,5257.416666666668,5408.450000000001,5236.450000000001,5430.483333333335,5215.483333333335
2010-04-27,5322.1,5330.55,5301.4,5308.35,5313.433333333333,5325.466666666667,5296.316666666667,5342.583333333334,5284.283333333333,5354.616666666668,5267.166666666666,5366.6500000000015,5250.049999999997,5378.683333333334,5232.9333333333325
2010-04-28,5308.2,5308.25,5202.45,5215.45,5242.05,5281.650000000001,5175.85,5347.85,5136.25,5387.450000000001,5070.05,5427.050000000003,5003.850000000002,5466.6500000000015,4937.6500000000015
2010-04-29,5215.25,5264.75,5214.8,5254.15,5244.566666666667,5274.333333333333,5224.383333333333,5294.516666666666,5194.616666666667,5324.283333333333,5174.433333333333,5354.049999999999,5154.25,5383.816666666666,5134.066666666666
2010-04-30,5254.2,5294.8,5254.2,5278.0,5275.666666666667,5297.133333333334,5256.533333333334,5316.266666666667,5235.066666666667,5337.7333333333345,5215.933333333333,5359.200000000001,5196.799999999999,5380.666666666668,5177.666666666668
2010-05-03,5278.4,5278.7,5210.05,5222.75,5237.166666666667,5264.283333333334,5195.633333333334,5305.816666666667,5168.516666666667,5332.933333333333,5126.9833333333345,5360.049999999999,5085.450000000001,5387.166666666668,5043.916666666668
2010-05-04,5223.9,5250.15,5134.85,5148.5,5177.833333333333,5220.816666666666,5105.516666666666,5293.133333333332,5062.533333333334,5336.116666666665,4990.216666666667,5379.0999999999985,4917.9000000000015,5422.08333333333,4845.583333333334
